application_stage,gender,measure,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026
Applicants,Men,number,19815,21580,21870,22013,22533,23135,24338,25760,26455,27927,27250,26058,25875,25492,24620,26948,23924,22574,22088,23072
Applicants,Men,percent,50.7,51,51.8,52.1,52.7,52.7,53.8,53.7,53.5,53.1,51.4,50.4,49,47.8,46.4,43.2,43.3,42.9,42.5,42.2
Applicants,Women,number,19293,20735,20360,20252,20207,20780,20922,22250,23019,24608,25779,25600,26882,27847,28343,35438,31191,29763,29528,31292
Applicants,Women,percent,49.3,49,48.2,47.9,47.3,47.3,46.2,46.3,46.5,46.8,48.6,49.5,50.9,52.2,53.4,56.8,56.5,56.6,56.8,57.2
Applicants,Total,number,39108,42315,42231,42268,42741,43919,45266,48014,49480,52549,53042,51680,52777,53368,53030,62443,55189,52577,51946,54699
First-Time Applicants,Men,number,14624,15925,15662,15815,16352,16671,17776,18643,19031,19687,19090,18072,18220,17962,17101,19421,16210,15907,16107,17362
First-Time Applicants,Men,percent,49.6,49.9,50.6,51,51.5,51.2,52.7,52.3,52,51.3,49.2,48.4,47.3,45.8,44.3,41.5,41.9,42.2,41.7,41.5
First-Time Applicants,Women,number,14867,15966,15284,15183,15413,15913,15929,17022,17588,18696,19682,19272,20247,21248,21420,27288,22449,21651,22252,24214
First-Time Applicants,Women,percent,50.4,50.1,49.4,49,48.5,48.8,47.3,47.7,48,48.7,50.8,51.6,52.6,54.2,55.5,58.4,58,57.4,57.6,57.9
First-Time Applicants,Total,number,29491,31891,30947,31001,31766,32587,33711,35668,36625,38394,38781,37364,38483,39234,38579,46756,38721,37725,38599,41830
Acceptees,Men,number,9475,9751,9954,10067,10404,10681,10964,11093,11161,11271,11091,10966,10864,10787,10644,10537,10520,10609,10667,10798
Acceptees,Men,percent,51.4,51.7,52,52.1,53,52.9,53.5,52.6,52.3,52.1,50.3,49.2,48.3,47.5,46.1,44.4,44.2,44.2,44.1,44.4
Acceptees,Women,number,8943,9107,9181,9264,9237,9495,9514,9977,10194,10372,10940,11287,11611,11893,12417,13152,13268,13298,13341,13364
Acceptees,Women,percent,48.6,48.3,48,47.9,47,47.1,46.5,47.4,47.7,47.9,49.6,50.7,51.6,52.4,53.7,55.5,55.7,55.4,55.2,55
Acceptees,Total,number,18418,18858,19135,19331,19641,20176,20479,21070,21355,21647,22036,22266,22483,22687,23105,23711,23810,24014,24172,24300
Matriculants,Men,number,8923,9177,9422,9573,9909,10193,10453,10588,10625,10766,10551,10516,10454,10402,10271,10057,10060,10160,10261,10409
Matriculants,Men,percent,51.4,51.7,52.2,52.1,53.1,53,53.6,52.8,52.2,52.2,50.2,49.3,48.3,47.6,46.2,44.4,44.3,44.2,44.3,44.4
Matriculants,Women,number,8438,8582,8614,8817,8756,9037,9064,9467,9718,9861,10474,10810,11160,11461,11926,12590,12630,12723,12749,12900
Matriculants,Women,percent,48.6,48.3,47.8,47.9,46.9,47,46.4,47.2,47.8,47.8,49.8,50.7,51.6,52.4,53.6,55.5,55.6,55.4,55.1,55
Matriculants,Total,number,17361,17759,18036,18390,18665,19230,19517,20055,20343,20631,21030,21338,21622,21869,22239,22666,22710,22980,23156,23440
Applicants,Another Gender Identity,number,,,,,,,,,,,,,,,,,,193,266,265
Applicants,Another Gender Identity,percent,,,,,,,,,,,,,,,,,,0.4,0.5,0.5
First-Time Applicants,Another Gender Identity,number,,,,,,,,,,,,,,,,,,130,184,196
First-Time Applicants,Another Gender Identity,percent,,,,,,,,,,,,,,,,,,0.3,0.5,0.5
Acceptees,Another Gender Identity,number,,,,,,,,,,,,,,,,,,90,137,112
Acceptees,Another Gender Identity,percent,,,,,,,,,,,,,,,,,,0.4,0.6,0.5
Matriculants,Another Gender Identity,number,,,,,,,,,,,,,,,,,,82,123,106
Matriculants,Another Gender Identity,percent,,,,,,,,,,,,,,,,,,0.4,0.5,0.5
