indicator_group,indicator_name,indicator_short_name,indicator_structure,application_stage,source_table,2018_2019_count,2018_2019_percent,2018_2019_total_people,2019_2020_count,2019_2020_percent,2019_2020_total_people,2020_2021_count,2020_2021_percent,2020_2021_total_people,2021_2022_count,2021_2022_percent,2021_2022_total_people,2022_2023_count,2022_2023_percent,2022_2023_total_people,2023_2024_count,2023_2024_percent,2023_2024_total_people,2024_2025_count,2024_2025_percent,2024_2025_total_people,2025_2026_count,2025_2026_percent,2025_2026_total_people
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Applicants,A-24,12839,24.3,52777,12526,23.5,53368,12457,23.5,53030,15304,24.5,62443,13379,24.2,55189,12555,23.9,52577,12278,23.6,51946,12386,22.6,54699
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Applicants,A-24,31617,59.9,52777,32444,60.8,53368,32267,60.8,53030,36874,59.1,62443,33237,60.2,55189,31994,60.9,52577,31771,61.2,51946,33238,60.8,54699
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Applicants,A-24,8321,15.8,52777,8398,15.7,53368,8306,15.7,53030,10265,16.4,62443,8573,15.5,55189,8028,15.3,52577,7897,15.2,51946,9075,16.6,54699
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Acceptees,A-24,4684,20.8,22483,4584,20.2,22687,4826,20.9,23105,5119,21.6,23711,5124,21.5,23810,5099,21.2,24014,5010,20.7,24172,4787,19.7,24300
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Acceptees,A-24,15373,68.4,22483,15578,68.7,22687,15657,67.8,23105,15843,66.8,23711,15994,67.2,23810,16339,68,24014,16633,68.8,24172,16741,68.9,24300
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Acceptees,A-24,2426,10.8,22483,2525,11.1,22687,2622,11.3,23105,2749,11.6,23711,2692,11.3,23810,2576,10.7,24014,2529,10.5,24172,2772,11.4,24300
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Matriculants,A-24,4516,20.9,21622,4425,20.2,21869,4650,20.9,22239,4901,21.6,22666,4887,21.5,22710,4897,21.3,22980,4794,20.7,23156,4606,19.7,23440
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Matriculants,A-24,14837,68.6,21622,15055,68.8,21869,15132,68,22239,15192,67,22666,15293,67.3,22710,15647,68.1,22980,15978,69,23156,16212,69.2,23440
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Matriculants,A-24,2269,10.5,21622,2389,10.9,21869,2457,11,22239,2573,11.4,22666,2530,11.1,22710,2436,10.6,22980,2384,10.3,23156,2622,11.2,23440
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Applicants,A-25,150,0.3,52777,134,0.3,53368,148,0.3,53030,208,0.3,62443,159,0.3,55189,144,0.3,52577,107,0.2,51946,73,0.1,54699
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Acceptees,A-25,43,0.2,22483,38,0.2,22687,50,0.2,23105,71,0.3,23711,55,0.2,23810,53,0.2,24014,44,0.2,24172,22,0.1,24300
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Matriculants,A-25,42,0.2,21622,36,0.2,21869,46,0.2,22239,65,0.3,22666,53,0.2,22710,52,0.2,22980,41,0.2,23156,20,0.1,23440
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Applicants,A-26,,,,,,,7421,14,53030,9616,15.4,62443,7712,14,55189,7260,13.8,52577,7146,13.8,51946,7530,13.8,54699
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Acceptees,A-26,,,,,,,2647,11.5,23105,2928,12.3,23711,2667,11.2,23810,2720,11.3,24014,2669,11,24172,2615,10.8,24300
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Matriculants,A-26,,,,,,,2545,11.4,22239,2804,12.4,22666,2543,11.2,22710,2606,11.3,22980,2545,11,23156,2498,10.7,23440
Financial Access,Applied Fee Assistance Program Benefits,Applied Fee Assistance Program Benefits,binary_status_indicator,Applicants,A-27,,,,,,,,,,,,,6940,12.6,55189,7129,13.6,52577,7474,14.4,51946,8251,15.1,54699
Financial Access,Applied Fee Assistance Program Benefits,Applied Fee Assistance Program Benefits,binary_status_indicator,Acceptees,A-27,,,,,,,,,,,,,2752,11.6,23810,3010,12.5,24014,3029,12.5,24172,3151,13,24300
Financial Access,Applied Fee Assistance Program Benefits,Applied Fee Assistance Program Benefits,binary_status_indicator,Matriculants,A-27,,,,,,,,,,,,,2639,11.6,22710,2896,12.6,22980,2892,12.5,23156,3029,12.9,23440
