academic_year,all_applicants,men_applicants,women_applicants,another_gender_or_not_reported_applicants,men_percent,women_percent,another_gender_or_not_reported_percent,source_table
1980-1981,36083,25426,10657,0,70.47,29.53,0.0,FACTS Chart 2
1981-1982,36717,25046,11671,0,68.21,31.79,0.0,FACTS Chart 2
1982-1983,35719,24038,11681,0,67.3,32.7,0.0,FACTS Chart 2
1983-1984,35187,23230,11957,0,66.02,33.98,0.0,FACTS Chart 2
1984-1985,35917,23451,12466,0,65.29,34.71,0.0,FACTS Chart 2
1985-1986,32885,21327,11558,0,64.85,35.15,0.0,FACTS Chart 2
1986-1987,31313,20050,11263,0,64.03,35.97,0.0,FACTS Chart 2
1987-1988,28118,17709,10409,0,62.98,37.02,0.0,FACTS Chart 2
1988-1989,26702,16446,10256,0,61.59,38.41,0.0,FACTS Chart 2
1989-1990,26909,16365,10544,0,60.82,39.18,0.0,FACTS Chart 2
1990-1991,29241,17456,11785,0,59.7,40.3,0.0,FACTS Chart 2
1991-1992,33296,19597,13699,0,58.86,41.14,0.0,FACTS Chart 2
1992-1993,37402,21784,15618,0,58.24,41.76,0.0,FACTS Chart 2
1993-1994,42806,24849,17957,0,58.05,41.95,0.0,FACTS Chart 2
1994-1995,45360,26393,18967,0,58.19,41.81,0.0,FACTS Chart 2
1995-1996,46586,26810,19776,0,57.55,42.45,0.0,FACTS Chart 2
1996-1997,46965,26937,20028,0,57.36,42.64,0.0,FACTS Chart 2
1997-1998,43016,24745,18271,0,57.53,42.47,0.0,FACTS Chart 2
1998-1999,40995,23211,17784,0,56.62,43.38,0.0,FACTS Chart 2
1999-2000,38442,21048,17394,0,54.75,45.25,0.0,FACTS Chart 2
2000-2001,37088,19815,17273,0,53.43,46.57,0.0,FACTS Chart 2
2001-2002,34860,18142,16718,0,52.04,47.96,0.0,FACTS Chart 2
2002-2003,33623,17067,16556,0,50.76,49.24,0.0,FACTS Chart 2
2003-2004,34791,17119,17672,0,49.21,50.79,0.0,FACTS Chart 2
2004-2005,35735,17717,18018,0,49.58,50.42,0.0,FACTS Chart 2
2005-2006,37371,18747,18624,0,50.16,49.84,0.0,FACTS Chart 2
2006-2007,39108,19815,19293,0,50.67,49.33,0.0,FACTS Chart 2
2007-2008,42315,21580,20735,0,51.0,49.0,0.0,FACTS Chart 2
2008-2009,42231,21870,20360,1,51.79,48.21,0.0,FACTS Chart 2
2009-2010,42268,22013,20252,3,52.08,47.91,0.01,FACTS Chart 2
2010-2011,42741,22533,20207,1,52.72,47.28,0.0,FACTS Chart 2
2011-2012,43919,23135,20780,4,52.68,47.31,0.01,FACTS Chart 2
2012-2013,45266,24338,20922,6,53.77,46.22,0.01,FACTS Chart 2
2013-2014,48014,25760,22250,4,53.65,46.34,0.01,FACTS Chart 2
2014-2015,49480,26455,23019,6,53.47,46.52,0.01,FACTS Chart 2
2015-2016,52549,27927,24608,14,53.14,46.83,0.03,FACTS Chart 2
2016-2017,53042,27250,25779,13,51.37,48.6,0.02,FACTS Chart 2
2017-2018,51680,26058,25600,22,50.42,49.54,0.04,FACTS Chart 2
2018-2019,52777,25875,26882,20,49.03,50.94,0.04,FACTS Chart 2
2019-2020,53369,25493,27847,29,47.77,52.18,0.05,FACTS Chart 2
2020-2021,53030,24620,28343,67,46.43,53.45,0.13,FACTS Chart 2
2021-2022,62443,26948,35438,57,43.16,56.75,0.09,FACTS Chart 2
2022-2023,55189,23924,31191,74,43.35,56.52,0.13,FACTS Chart 2
2023-2024,52577,22574,29763,240,42.94,56.61,0.46,FACTS Chart 2
2024-2025,51946,22088,29528,330,42.52,56.84,0.64,FACTS Chart 2
2025-2026,54699,23072,31291,336,42.18,57.21,0.61,FACTS Chart 2
